links,Stories,beds,baths,price,Zip Code,Days on Market,Year Built,Lot Area,Property Type
https://www.trulia.com/p/ny/flushing/20422-45th-rd-flushing-ny-11361--2009970347,2.0,3.0,2.0,880000.0,11361,1,1950.0,2642, Single Family Home
https://www.trulia.com/p/ny/new-york/695-1st-ave-31g-new-york-ny-10016--2576089134,,2.0,3.0,2370000.0,10016,1,2019.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/112-india-st-2-3-brooklyn-ny-11222--2617912997,,4.0,4.0,4900000.0,11222,1,1915.0,nan, Condo
https://www.trulia.com/p/ny/astoria/31-33-47th-st-6-astoria-ny-11103--2617912991,,11.0,6.0,1798000.0,11103,1,1928.0,nan, Multi Family
https://www.trulia.com/p/ny/new-york/300-w-145th-st-3j-new-york-ny-10039--2191410451,,2.0,2.0,725000.0,10039,1,2003.0,nan, Coop
https://www.trulia.com/p/ny/brooklyn/3021-avenue-z-3k-brooklyn-ny-11235--2234424134,,2.0,1.0,289000.0,11235,1,1956.0,nan, Coop
https://www.trulia.com/p/ny/brooklyn/734-53rd-st-brooklyn-ny-11220--2009753460,2.0,6.0,4.0,1999000.0,11220,1,1908.0,2003, Multi Family
https://www.trulia.com/p/ny/flushing/6356-83rd-pl-flushing-ny-11379--2010103250,2.0,4.0,3.0,948000.0,11379,41,1935.0,2000, Residential Income
https://www.trulia.com/p/ny/jamaica/10223-187th-st-jamaica-ny-11423--2010209937,2.0,4.0,2.0,559000.0,11423,1,1940.0,2000, Single Family Home
https://www.trulia.com/p/ny/flushing/13235-sanford-ave-6k-flushing-ny-11355--2177947663,6.0,1.0,1.0,595000.0,11355,1,1960.0,50093.99999999999, Apartment
https://www.trulia.com/p/ny/new-york/130-e-67th-st-5b-new-york-ny-10065--2346020839,,2.0,2.0,2000000.0,10065,1,1908.0,nan, Coop
https://www.trulia.com/p/ny/brooklyn/2226-mcdonald-ave-brooklyn-ny-11223--2009777042,2.0,6.0,3.0,1225000.0,11223,1,1931.0,871200.0, Apartment
https://www.trulia.com/p/ny/new-york/220-e-57th-st-5c-new-york-ny-10022--2192740371,,,1.0,525000.0,10022,1,1970.0,nan, Coop
https://www.trulia.com/p/ny/new-york/475-park-ave-5a-new-york-ny-10022--2345981163,,3.0,3.0,1800000.0,10022,1,1908.0,nan, Coop
https://www.trulia.com/p/ny/brooklyn/100-oceana-dr-w-1g-brooklyn-ny-11235--2089026936,7.0,2.0,2.0,760000.0,11235,1,2000.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/22-n-6th-st-19i-brooklyn-ny-11249--2089040716,30.0,1.0,1.0,899000.0,11249,1,2008.0,77972.40000000001, Condo
https://www.trulia.com/p/ny/bronx/880-boynton-ave-19d-bronx-ny-10473--2307423132,,3.0,2.0,475000.0,10473,1,1962.0,nan, Coop
